City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
120,Kaitangata,NZ,-46.28,169.85,50.0,60,100,4.0,light rain,0.56,0
121,Victoria,HK,22.29,114.16,86.0,70,47,11.01,scattered clouds,0.0,0
122,Sao Raimundo Das Mangabeiras,BR,-7.02,-45.48,90.32,36,92,8.55,overcast clouds,0.0,0
123,Kodiak,US,57.79,-152.41,59.0,77,1,5.82,clear sky,0.0,0
124,Capaci,IT,38.17,13.24,82.0,69,0,14.99,clear sky,0.0,0
125,Bud,US,39.45,-86.18,86.0,54,1,8.05,clear sky,0.0,0
126,Mitsamiouli,KM,-11.38,43.28,75.2,78,20,2.24,few clouds,0.0,0
127,Griffith,US,41.53,-87.42,82.4,83,90,10.29,moderate rain,0.76,0
128,Misratah,LY,32.38,15.09,77.16,77,0,10.47,clear sky,0.0,0
129,Gigmoto,PH,13.78,124.39,80.56,80,94,3.51,overcast clouds,0.0,0
130,Iguape,BR,-24.71,-47.56,82.09,55,0,7.56,clear sky,0.0,0
131,Mahon,ES,39.89,4.27,77.0,61,0,20.8,clear sky,0.0,0
132,Leningradskiy,RU,69.38,178.42,43.21,70,0,13.09,clear sky,0.0,0
133,Coquimbo,CL,-29.95,-71.34,55.4,87,40,10.29,scattered clouds,0.0,0
134,Rocha,UY,-34.48,-54.33,51.67,58,0,7.16,clear sky,0.0,0
135,Chute-Aux-Outardes,CA,49.12,-68.4,66.2,82,90,13.87,overcast clouds,0.0,0
136,Hilo,US,19.73,-155.09,77.0,69,90,11.41,overcast clouds,0.0,0
137,Mahebourg,MU,-20.41,57.7,69.8,68,40,19.46,shower rain,0.0,0
138,Marfino,RU,55.7,37.38,73.4,64,74,6.71,broken clouds,0.0,0
139,Benghazi,LY,32.12,20.07,76.53,73,0,12.77,clear sky,0.0,0
140,Arraial Do Cabo,BR,-22.97,-42.03,80.6,54,0,14.99,clear sky,0.0,0
141,Nome,US,64.5,-165.41,63.0,67,1,4.7,clear sky,0.0,0
