City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
123,Touros,BR,-5.2,-35.46,80.6,61,20,10.29,few clouds,0.0,0
124,Souillac,MU,-20.52,57.52,71.6,68,40,13.87,scattered clouds,0.0,0
125,Kavieng,PG,-2.57,150.8,81.75,72,100,2.66,overcast clouds,0.0,0
126,Mahebourg,MU,-20.41,57.7,71.6,68,40,13.87,scattered clouds,0.0,0
127,La Ronge,CA,55.1,-105.28,73.4,53,90,10.29,overcast clouds,0.0,0
128,Vasilati,RO,44.29,26.45,75.99,77,40,8.05,light intensity shower rain,0.0,0
129,Selfoss,IS,63.93,-21.0,53.01,96,100,5.99,light rain,0.38,0
130,Arraial Do Cabo,BR,-22.97,-42.03,87.8,42,85,10.29,overcast clouds,0.0,0
131,Victoria,HK,22.29,114.16,84.0,79,10,3.0,light rain,0.15,0
132,Jalu,LY,29.03,21.55,79.84,50,0,17.05,clear sky,0.0,0
133,Shimoda,JP,34.67,138.95,63.0,95,100,1.01,overcast clouds,0.0,0
134,Tura,IN,25.52,90.22,74.77,97,85,6.58,light rain,0.87,0
135,Fort Nelson,CA,58.81,-122.7,68.0,45,75,12.75,broken clouds,0.0,0
136,Shihezi,CN,44.3,86.03,67.6,48,62,5.17,broken clouds,0.0,0
137,Bethel,US,41.37,-73.41,87.01,54,20,10.29,few clouds,0.0,0
138,Severo-Kurilsk,RU,50.68,156.12,49.8,91,100,9.22,overcast clouds,0.0,0
139,Boljevac,RS,43.83,21.95,60.8,87,75,2.24,broken clouds,0.0,0
140,Nanakuli,US,21.39,-158.15,84.2,51,1,8.05,clear sky,0.0,0
141,Kahului,US,20.89,-156.47,86.0,45,20,20.8,few clouds,0.0,0
142,Meulaboh,ID,4.14,96.13,76.44,88,100,4.52,overcast clouds,0.0,0
143,Aksu,CN,41.12,80.26,77.23,30,80,6.55,broken clouds,0.0,0
144,Haines Junction,CA,60.75,-137.51,61.52,46,97,8.37,overcast clouds,0.0,0
145,Majene,ID,-3.54,118.97,75.16,94,100,7.76,heavy intensity rain,9.36,0
146,Faanui,PF,-16.48,-151.75,79.0,76,100,14.79,overcast clouds,0.0,0
147,Salamanca,ES,40.83,-6.0,80.01,43,35,4.07,scattered clouds,0.0,0
148,Aknada,RU,42.4,46.17,52.95,75,93,3.62,overcast clouds,0.0,0
149,Kaitangata,NZ,-46.28,169.85,37.0,75,7,4.0,clear sky,0.0,0
150,Chernenko,RU,44.37,39.31,67.26,88,3,3.18,clear sky,0.0,0
151,Agadez,NE,19.75,10.25,90.63,13,13,4.14,few clouds,0.0,0
152,Havoysund,NO,71.0,24.66,55.4,93,40,11.41,scattered clouds,0.0,0
153,Jieshi,CN,22.81,115.83,82.4,85,18,7.25,few clouds,0.0,0
154,Torbay,CA,47.67,-52.73,66.0,72,75,18.34,broken clouds,0.0,0
155,Imeni Poliny Osipenko,RU,52.42,136.49,56.75,91,96,5.01,overcast clouds,0.0,0
156,Villagarzon,CO,1.04,-76.63,84.29,51,38,3.11,light rain,0.3,0
157,Vao,NC,-22.67,167.48,71.31,81,16,19.1,few clouds,0.0,0
