City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
179,179,Mantua,IT,45.17,10.78,81.0,65,7,4.7,moderate rain,1.22,0
180,180,Sumbe,AO,-11.21,13.84,70.48,82,90,5.55,overcast clouds,0.0,0
181,181,Fort-Shevchenko,KZ,44.51,50.26,80.92,67,33,9.95,scattered clouds,0.0,0
182,182,Codrington,AU,-38.27,141.97,45.93,89,100,4.81,overcast clouds,0.0,0
183,183,Buin,CL,-33.73,-70.75,57.2,62,90,1.19,overcast clouds,0.0,0
184,184,Mana,GF,5.66,-53.78,81.05,85,15,9.84,light rain,0.52,0
185,185,Ilulissat,GL,69.22,-51.1,42.8,87,100,12.75,overcast clouds,0.0,0
186,186,Lopatino,RU,52.62,45.81,58.35,93,15,7.47,few clouds,0.0,0
187,187,Marsa Matruh,EG,31.35,27.25,75.29,80,0,6.78,clear sky,0.0,0
188,188,Bambous Virieux,MU,-20.34,57.76,69.8,64,75,18.34,shower rain,0.0,0
189,189,Claresholm,CA,50.03,-113.59,69.01,45,1,19.46,clear sky,0.0,0
190,190,Bentiu,SS,9.23,29.83,76.12,73,100,0.74,overcast clouds,0.0,0
191,191,Labrea,BR,-7.26,-64.8,90.97,45,28,2.13,scattered clouds,0.0,0
192,192,Prince Rupert,CA,54.32,-130.32,55.4,93,90,10.29,light rain,0.0,0
193,193,Iqaluit,CA,63.75,-68.51,48.2,76,75,3.36,broken clouds,0.0,0
194,194,Paamiut,GL,61.99,-49.67,42.89,96,100,5.08,overcast clouds,0.0,0
195,195,Yambio,SS,4.57,28.4,68.76,94,100,1.61,overcast clouds,0.0,0
196,196,Dwarka,IN,22.24,68.97,84.54,83,58,21.16,broken clouds,0.0,0
197,197,Hami,CN,42.8,93.45,81.88,23,100,7.52,overcast clouds,0.0,0
198,198,Andros Town,BS,24.7,-77.77,82.4,83,75,10.29,thunderstorm with heavy rain,0.0,0
199,199,Itarema,BR,-2.92,-39.92,78.94,81,25,12.55,scattered clouds,0.0,0
200,200,Portobelo,PA,9.55,-79.65,84.99,72,68,7.92,light rain,0.92,0
201,201,Dicabisagan,PH,17.08,122.42,79.39,79,39,3.67,scattered clouds,0.0,0
202,202,Katobu,ID,-4.94,122.53,73.4,95,97,3.89,overcast clouds,0.0,0
203,203,Ahipara,NZ,-35.17,173.17,53.94,81,31,3.65,scattered clouds,0.0,0
204,204,Xiongzhou,CN,25.12,114.3,75.81,90,100,2.95,overcast clouds,0.0,0
205,205,Bondo,CD,3.81,23.69,69.66,97,99,2.06,light rain,0.38,0
206,206,Yellowknife,CA,62.46,-114.35,68.0,59,75,8.05,broken clouds,0.0,0
207,207,Alyangula,AU,-13.85,136.42,76.08,73,95,11.61,overcast clouds,0.0,0
208,208,Mangaratiba,BR,-22.96,-44.04,71.6,64,75,5.82,broken clouds,0.0,0
209,209,Shwebo,MM,22.57,95.7,79.39,79,100,14.16,overcast clouds,0.0,0
210,210,Lerwick,GB,60.15,-1.15,51.8,81,81,11.41,broken clouds,0.0,0
211,211,Toufen,TW,24.69,120.91,82.0,81,100,7.74,overcast clouds,0.0,0
212,212,Mathbaria,BD,22.29,89.96,82.04,87,100,10.74,overcast clouds,0.0,0
213,213,Port Augusta,AU,-32.5,137.77,44.6,100,90,8.05,overcast clouds,0.0,0
